ID_GodotObject,tags
2000129305914,"Corona-Pandemie,Sommerferien,Einbindung,Comeback,Coronavirus,COVID-19,Infektionszahl,Wien,Laer,Israel,APA,ÖVP,Sebastian Kurz"
2000126497942,"Registrierungspflicht,Öffnung,Öffnungsschritt,Freizeiteinrichtung,Wien,SPÖ,APA,Peter Hacker"
2000129408042,"Landtagswahl,Coronavirus,Pandemie,Impfkampagne,Heilsversprechen,Impfrate,Laer,Österreich,Oberösterreich,Bundesregierung,APA,Rotes Kreuz,ÖRK,Ö1,Walter Hasibeder,Pamela Rendi-Wagner"
2000116740663,"Coronavirus,Organstrafmandat,Österreich,Öffi,Polizei,Gerhard Pürstl"
2000129417401,"Coronavirus,Neuinfektion,Mückstein,Apotheke,Gastronomie,Wien,Oberösterreich,Österreich,München,Salzburg,ÖVP,Kronen Zeitung,Gerald Loacker"
2000121671795,"Coronavirus,Gesundheitsministerium,Infektionsrisiko,Infektionsgeschehen,Österreich,APA,Bundeskanzleramt"
2000118716682,"Corona-Pandemie,Coronavirus,COVID-19,Schlachtbetrieb,Nachtlokal,Virus,Infektionszahl,Nachtgastronomie,Heimquarantäne,Maskenpflicht,Abstandsregel,Landeverbot,Österreich,USA,Lombardei,Kleinwalsertal,Lissabon,Israel,Tokio,Balkan,Oklahoma,Portugal,Wien,Nordeuropa,London,Japan,Eggenburg,Kärnten,Niederösterreich,Wiener Neustadt,Slowakei,Schweiz,Vorarlberg,Chicago,Ägypten,Albanien,Bosnien-Herzegowina,Bulgarien,Kosovo,Montenegro,Nordmazedonien,Rumänien,Serbien,Großbritannien,Ukraine,Belgrad,Bukarest,Kairo,Kiew,Podgorica,Prishtina,Sarajevo,Sibiu,Skopje,Stockholm,Tirana,Westbalkan,Oberösterreich,Klagenfurt,AUA,ÖVP,Innenministerium,SPÖ,Moderna,Corona,ORF,Polizei,AA,Anthony Fauci,Peter Kaiser,Juli-Joel Edelstein,Kevin Stitt,Sebastian Kurz,Donald Trump,Stefan Ratzenberger,Karl Nehammer,Gerald Loacker,Mike Pence,Alexander Schallenberg"
2000129542531,"Corona-Pandemie,Impfpflicht,Bußgeld,COVID-19,Maskenpflicht,USA,Los Angeles,Kalifornien,Weißes Haus,Arbeitsministerium,BioNTech,Pfizer,Joe Biden,Jen Psaki,Megan Reilly"
2000126631447,"Maskenpflicht,Meilenstein,Coronavirus,Gesundheitsbehörde,Innenraum,Impfschutz,Restaurant,COVID-19,USA,Amerika,CDC,Joe Biden,Rochelle Walensky"
2000129574113,"Coronavirus,Maßnahmenverordnung,Corona-Krise,Mückstein,Gratistest,Österreich,Wien,APA"
2000118743297,"Corona-Pandemie,Coronavirus-Pandemie,Maskenpflicht,COVID-19,Coronavirus,Virus,Neuinfektion,Negativrekord,Schlachthof,SARS-CoV-2,Corona-Krise,Grenzkontrolle,USA,Österreich,Lateinamerika,Karibik,Kärnten,Italien,Israel,Spanien,Eggenburg,Slowenien,Brasilien,Oberösterreich,Wolfsberg,Kanada,Salzburg,Velden,Krumpendorf,St. Kanzian,Klopeiner See,Innsbruck,Linz,Völkermarkt,Serbien,Montenegro,Moskau,Großbritannien,Russland,ÖBB,Ärztekammer,EU,Bundesheer,Polizei,SPÖ,Österreichischer Gewerkschaftsbund,Geheimdienst,Rudolf Anschober,Thomas Szekeres,Kristalina Georgiewa,Ulrike Königsberger-Ludwig,Dominic Raab"
2000129581597,"Infektionszahl,Coronavirus,Mückstein,Wien,FPÖ,SPÖ,Ö1,ÖVP,Michael Ludwig,Sebastian Kurz,Dominik Nepp"
2000129584367,"Coronavirus,Kundgebung,Hauptbahnhof,Wien,Karlsplatz,Karlskirche,Ballhausplatz,USA,Australien,Polizei,Bundesregierung,Martin Rutter,Alexander Van der Bellen"
2000116769492,"Organstrafmandat,Schutzmaskenpflicht,Ausgangsbeschränkung,Verordnung,Organmandat,Maskenpflicht,COVID-19,Polizei,BMG"
2000116773212,"Kurzarbeit,Betriebsratszustimmung,Reisebüro,Sonntagsfahrplan,Pendler,Volkswirtschaft,Corona-Krise,ÖBB,Betriebsrat,Ö1"
2000118770128,"Maskenpflicht,Coronavirus,Rekordanstieg,Neuinfektion,Teilamnestie,Tagesüberblick,Todesfall,Generalamnestie,Erkrankung,COVID-19,Virus,Brasilien,USA,Indien,Österreich,Eggenburg,Vorarlberg,Niederösterreich,Südafrika,Oberösterreich,Wien,Israel,Singapur,WHO,ÖVP,Weltgesundheitsorganisation,Ö1,SPÖ,Werner Kogler,Donald Trump,Sebastian Kurz,Rudi Anschober,Johannes Rauch,Ulrike Königsberger-Ludwig,Irmgard Lechner"
