ID_Posting,ID_Posting_Parent,ID_GodotObject,ID_CommunityIdentity,id_posting_status,Headline,Comment,createdAt,VoteNegative,VotePositive,merged_text,p_merged_text
1049746955,1049746300,2000114365338,581535,1.0,,"Nö, noch um einiges schlimmer.",2020-02-10 13:39:17.460,False,True,"Nö, noch um einiges schlimmer. | ",nö schlimm
1051997492,1051997157,2000116305030,2820,1.0,,"Naja, laut Krone kommt sie heute, Sie können sich ja dann mit den ""Experten"" weiter darüber aufregen...",2020-03-30 08:21:06.657,False,True,"Naja, laut Krone kommt sie heute, Sie können sich ja dann mit den ""Experten"" weiter darüber aufregen... | ",Naja laut Krone kommen heute ja Experte darüber aufregen
1051997658,1051996055,2000116305030,176518,1.0,,"Können oder wollen. Ich kenn auch Leut die jammern weil das Kind jetzt einen Computer braucht, selber aber immer mit dem neuesten Modell vom X3 unterwegs sind.",2020-03-30 08:24:54.440,False,True,"Können oder wollen. Ich kenn auch Leut die jammern weil das Kind jetzt einen Computer braucht, selber aber immer mit dem neuesten Modell vom X3 unterwegs sind. | ",kenn Leut jammern Kind Computer brauchen selber immer neu Modell x3 unterwegs
1051997773,-1,2000116305030,162659,1.0,,Oh wie schön ist Panama!,2020-03-30 08:27:14.707,False,True,Oh wie schön ist Panama! | ,oh schön Panama
1051997957,1051997928,2000116305030,46048,1.0,,"Was du möchtest, ist dem Gesetzgeber zum Glück sch...egal.",2020-03-30 08:30:59.987,False,True,"Was du möchtest, ist dem Gesetzgeber zum Glück sch...egal. | ",möchtest Gesetzgeber Glück -- egal
1051998158,-1,2000116305030,536001,1.0,,eine rot-weiß-rote Airline? aber nur auf dem leitwerk,2020-03-30 08:34:33.380,True,False,eine rot-weiß-rote Airline? aber nur auf dem leitwerk | ,Rotweißrot Airline Leiter
1051998379,-1,2000116305030,637895,1.0,Was kocht ihr heute?,Bei mir gibt´s gekochtes Rindfleisch mit gerösteten Kartoffeln und Semmelkren.,2020-03-30 08:38:36.087,False,True,Bei mir gibt´s gekochtes Rindfleisch mit gerösteten Kartoffeln und Semmelkren. | Was kocht ihr heute?,gibts gekocht Rindfleisch Geröstet Kartoffel semmelkren kochen heute
1051998387,1051998335,2000116305030,522281,1.0,,Es steht eh im Artikel dass FFP Masken auch selbst schützen. (ist in der Einleitung des Artikels noch etwas verwirrend),2020-03-30 08:38:48.590,False,True,Es steht eh im Artikel dass FFP Masken auch selbst schützen. (ist in der Einleitung des Artikels noch etwas verwirrend) | ,stehen eh Artikel ffp Maske schützen Einleitung Artikel verwirrend
1051998467,1051998383,2000116305030,686631,1.0,,"Und ich frage mich, wo Sie Ihre Importwaren aus China her nehmen? Kommen die alle per Schiff? Auch nicht umweltfreundlicher...",2020-03-30 08:40:04.247,False,True,"Und ich frage mich, wo Sie Ihre Importwaren aus China her nehmen? Kommen die alle per Schiff? Auch nicht umweltfreundlicher... | ",Frage importwar China her nehmen kommen per Schiff umweltfreundlich
1051998765,1051998598,2000116305030,18537,1.0,,"Ich habe keine Ahnung, was Sie sagen wollen. Ich sage Ihnen jedoch, dass Blockwarte nicht gefragt sind.",2020-03-30 08:46:04.753,False,True,"Ich habe keine Ahnung, was Sie sagen wollen. Ich sage Ihnen jedoch, dass Blockwarte nicht gefragt sind. | ",Ahnung sagen sagen jedoch blockwarte fragen
1051998845,1051998464,2000116305030,731452,1.0,,Meine Vermutung: denen sind die Reagenzien ausgegangen,2020-03-30 08:47:29.573,False,True,Meine Vermutung: denen sind die Reagenzien ausgegangen | ,Vermutung der Reagenzie ausgehen
1051999160,1051999113,2000116305030,21273,1.0,,Was positives am negativen: Die Social Medias werden plötzlich proaktiv.,2020-03-30 08:53:03.853,False,True,Was positives am negativen: Die Social Medias werden plötzlich proaktiv. | ,positiv negativ social Medias plötzlich proaktiv
1051999468,-1,2000116305030,729448,1.0,,Wieso informierte sie ihren Mann? Darf sie das nicht selber melden? Dem sollte man ebenfalls nachgehen.,2020-03-30 08:59:10.793,True,False,Wieso informierte sie ihren Mann? Darf sie das nicht selber melden? Dem sollte man ebenfalls nachgehen. | ,wieso informieren Mann dürfen selber melden ebenfalls nachgehen
1051999486,1051999429,2000116305030,654954,1.0,,"wände ok, aber decke?",2020-03-30 08:59:23.923,False,True,"wände ok, aber decke? | ",Hand ok decken
1051999784,1051999694,2000116305030,244446,1.0,,Und dann kommts ein paar Tage später tatsächlich (mit anderem Namen).,2020-03-30 09:04:55.887,False,True,Und dann kommts ein paar Tage später tatsächlich (mit anderem Namen). | ,kommts paar Tag spät tatsächlich Name
1052000118,1052000019,2000116305030,683056,1.0,,"könnt´seind,  daß man damit wenigsieht?",2020-03-30 09:11:34.310,False,True,"könnt´seind,  daß man damit wenigsieht? | ",Könntseind wenigsiehen
1052000363,1052000197,2000116305030,204231,1.0,,"Nein muss die Welt nicht! Statistikfetischisten können sich die ""richtige"" Zählweise dann zusammenaddieren.",2020-03-30 09:15:31.057,True,False,"Nein muss die Welt nicht! Statistikfetischisten können sich die ""richtige"" Zählweise dann zusammenaddieren. | ",nein Welt statistikfetischisn richtig zählweise zusammenaddieren
1052000610,-1,2000116305030,508188,1.0,,"Also wenn man sich das Lohnniveau dort ansieht, wird das eine ziemliche Katastrophe werden. Die Jungen wirds dann nicht mehr lange dort halten.",2020-03-30 09:19:45.810,False,True,"Also wenn man sich das Lohnniveau dort ansieht, wird das eine ziemliche Katastrophe werden. Die Jungen wirds dann nicht mehr lange dort halten. | ",Lohnniveau ansehen ziemlich Katastrophe jung wirds mehr lange halten
1052000750,-1,2000116305030,633019,1.0,,HOW MUCH IS THE FISH?,2020-03-30 09:21:56.317,False,True,HOW MUCH IS THE FISH? | ,how much -- -- fish
1052000996,1052000971,2000116305030,566803,1.0,,Beethoven auch nicht.,2020-03-30 09:26:42.043,False,True,Beethoven auch nicht. | ,Beethove
1052001129,1052001001,2000116305030,589521,1.0,,"Es gibt halt keine Masken - solange muss man halt erzählen, es bringe eh nix...",2020-03-30 09:29:05.997,False,True,"Es gibt halt keine Masken - solange muss man halt erzählen, es bringe eh nix... | ",geben halt Maske solange halt erzählen bringen eh nix
1052001250,1052001109,2000116305030,232439,1.0,,"Und mit der Hilfe von Goldman Sachs, die daran noch die nächsten 100 Jahre verdienen",2020-03-30 09:31:31.503,True,False,"Und mit der Hilfe von Goldman Sachs, die daran noch die nächsten 100 Jahre verdienen | ",Hilfe Goldman Sachs daran nächster 100 Jahr verdienen
1052001330,1051998132,2000116305030,189623,1.0,,bandanas hat jeder sportler daheim.,2020-03-30 09:33:06.063,False,True,bandanas hat jeder sportler daheim. | ,Bandana Sportler daheim
1052001559,1051999811,2000116305030,679556,1.0,,Kommt wahrscheinlich erst wenn es genug Masken gibt....,2020-03-30 09:36:28.010,False,True,Kommt wahrscheinlich erst wenn es genug Masken gibt.... | ,kommen wahrscheinlich erst genug Maske geben
1052001568,-1,2000116305030,608361,1.0,,Unser Wien is net deppat.,2020-03-30 09:36:41.047,False,True,Unser Wien is net deppat. | ,Wien -- neten Deppat
1052001585,-1,2000116305030,564382,1.0,Die Einführung des Überwachungsstaates mithilfe des Terrorismus ist gescheitert.,Jetzt muss es Corina richten.,2020-03-30 09:36:57.273,False,True,Jetzt muss es Corina richten. | Die Einführung des Überwachungsstaates mithilfe des Terrorismus ist gescheitert.,Corina richten Einführung überwachungsstaat Mithilfe Terrorismus scheitern
